,0
0,*
1,--
2,0000
3,1111
4,2-faced
5,2-faces
6,a+
7,abnormal
8,abolish
9,abominable
10,abominably
11,abominate
12,abomination
13,abort
14,aborted
15,abound
16,abounds
17,abrade
18,abrasive
19,abrupt
20,abruptly
21,abscond
22,absence
23,absent-minded
24,absentee
25,absurd
26,absurdity
27,absurdly
28,absurdness
29,abundance
30,abundant
31,abuse
32,abused
33,abusive
34,abysmal
35,abysmally
36,abyss
37,accessable
38,accessible
39,accidental
40,acclaim
41,acclaimed
42,acclamation
43,accolade
44,accommodative
45,accomodative
46,accomplish
47,accomplished
48,accomplishment
49,accost
50,accurate
51,accurately
52,accursed
53,accusation
54,accuse
55,accuses
56,accusing
57,accusingly
58,acerbate
59,acerbic
60,acerbically
61,ache
62,ached
63,achey
64,achievable
65,achievement
66,achievible
67,aching
68,acrid
69,acridly
70,acridness
71,acrimonious
72,acrimoniously
73,acrimony
74,acumen
75,adamant
76,adamantly
77,adaptable
78,adaptive
79,addict
80,addicted
81,addicting
82,adequate
83,adjustable
84,admirable
85,admirably
86,admiration
87,admire
88,admirer
89,admiring
90,admiringly
91,admonish
92,admonisher
93,admonishingly
94,admonishment
95,admonition
96,adorable
97,adore
98,adored
99,adorer
100,adoring
101,adoringly
102,adroit
103,adroitly
104,adulate
105,adulation
106,adulatory
107,adulterate
108,adulterated
109,adulteration
110,adulterier
111,advanced
112,advantage
113,advantageous
114,advantageously
115,adventuresome
116,adventurous
117,adversarial
118,adversary
119,adverse
120,adversity
121,advocate
122,advocated
123,affability
124,affable
125,affably
126,affectation
127,affection
128,affectionate
129,affinity
130,affirm
131,affirmation
132,affirmative
133,afflict
134,affliction
135,afflictive
136,affluence
137,affluent
138,afford
139,affordable
140,affordably
141,affront
142,afordable
143,afraid
144,aggravate
145,aggravating
146,aggravation
147,aggression
148,aggressive
149,aggressiveness
150,aggressor
151,aggrieve
152,aggrieved
153,aggrivation
154,aghast
155,agile
156,agilely
157,agility
158,agonize
159,agonizing
160,agonizingly
161,agony
162,agreeable
163,agreeableness
164,agreeably
165,aground
166,ail
167,ailing
168,ailment
169,aimless
170,alarm
171,alarmed
172,alarming
173,alarmingly
174,alienate
175,alienated
176,alienation
177,all-around
178,allegation
179,allege
180,allergic
181,allergy
182,alluring
183,alluringly
184,aloof
185,altercation
186,altruistic
187,altruistically
188,amaze
189,amazed
190,amazement
191,amazes
192,amazing
193,amazingly
194,ambiguity
195,ambiguous
196,ambitious
197,ambitiously
198,ambivalence
199,ambivalent
200,ambush
201,ameliorate
202,amenable
203,amenity
204,amiability
205,amiabily
206,amiable
207,amicability
208,amicable
209,amicably
210,amiss
211,amity
212,ample
213,amply
214,amputate
215,amuse
216,amusing
217,amusingly
218,anarchism
219,anarchist
220,anarchistic
221,anarchy
222,anemic
223,angel
224,angelic
225,anger
226,angrily
227,angriness
